;This file contains bonded parameters that can be assigned by Sobtop
;There are following fields in sequence: $BOND, $ANGLE, $DIHEDRAL, $HARM_DIH, $IMPROPER
;The lines beginning with semicolon are comment lines
;Between atom types there must be a - symbol
;GAFF parameters come from gaff.dat (Version 1.81, May 2017) in AmberTools 21
;AMBER parameters come from parm19.dat in AmberTools 21, corresponding to AMBER19SB with parmbsc0 and OL3


;Content between $BOND ... $end are parameters of bond terms
;Parameters should be given in AMBER/GAFF form: E_bond = k*(r-r0)^2
;Column 1: Two atom types
;Column 2: Force constant (k) in kcal/mol/A^2
;Column 3: Equilibrium bond distance (r0) in Angstrom
;Note that in GROMACS the potential is (1/2)*k*(r-r0)^2, so the k given below is half of that used in GROMACS
;To convert to k in GROMACS convention, the k in this section should be multiplied by 4.184*100*2
$BOND
ce-s2  220.91   1.7717
ce-s   291.4    1.6800
ce-s4  225.46   1.7640
ce-sh  204.80   1.8006
ce-ss  214.88   1.7822
ce-sx  195.18   1.8192
ce-sy  208.40   1.7939
c -f   321.72   1.3623
cf-cf  297.84   1.4514
cf-cg  336.3    1.4310
cf-ch  323.50   1.4260
cf-cl  196.52   1.7406
cf-cs  348.96   1.4031
cf-cv  436.8    1.3600
cf-cx  254.90   1.5005
cf-cy  250.1    1.5160
cf-f   334.28   1.3512
cf-h4  348.21   1.0942
cf-ha  356.82   1.0885
cf-i   101.01   2.1839
cf-n1  337.67   1.3784
cf-n2  460.48   1.2900
cf-n   301.7    1.4240
cf-na  305.3    1.4210
cf-ne  450.59   1.2960
cf-nf  316.61   1.3975
cf-nh  327.10   1.3878
cf-nj  296.05   1.4177
cf-no  262.7    1.4630
cf-ns  289.97   1.4240
cf-nu  334.59   1.3811
cf-nv  355.66   1.3632
cf-o   574.11   1.2264
cf-oh  376.36   1.3422
cf-os  355.57   1.3586
cf-p2  190.4    1.8140
cf-pf  188.2    1.8180
cf-px  186.6    1.8210
cf-py  195.0    1.8060
cf-s   291.4    1.6800
cf-s4  225.40   1.7641
cf-ss  221.84   1.7701
cf-sx  186.06   1.8379
cf-sy  221.20   1.7712
cg-cg  396.94   1.3650
cg-ch  669.87   1.2206
cg-cs  338.34   1.4124
cg-n1  744.03   1.1643
cg-ne  404.40   1.3263
cg-pe  231.38   1.7859
c -h4  322.47   1.1123
c -h5  332.14   1.1053
c -ha  368.8    1.1010
ch-ch  402.71   1.3608
ch-n1  742.83   1.1647
ch-nf  402.83   1.3274
ch-pf  339.4    1.6210
c -i    87.40   2.2525
cl-cl   79.3    2.2670
cl-cs  189.84   1.7535
cl-cv  197.90   1.7380
cl-cx  173.39   1.7878
cl-cy  170.43   1.7944
cl-n1  217.6    1.6300
cl-n   180.10   1.7137
cl-n2  159.95   1.7577
cl-n3  154.97   1.7696
cl-n4  149.7    1.7530
cl-n7  150.35   1.7811
cl-n8  149.60   1.7830
cl-na  181.43   1.7110
cl-nh  161.19   1.7548
cl-nj  174.69   1.7249
cl-no  116.7    1.8400
cl-np  145.28   1.7942
cl-ns  173.41   1.7276
cl-nu  162.05   1.7528
cl-ny  157.33   1.7639
cl-nz  158.13   1.7620
cl-o   151.26   1.7720
cl-oh  170.38   1.7275
cl-os  167.23   1.7344
cl-p2  166.81   2.1020
cl-p3  138.09   2.1886
cl-p4  232.07   1.9588
cl-p5  170.68   2.0917
cl-pb  172.6    1.9970
cl-py  189.62   2.0452
cl-s2  185.6    2.1610
cl-s   230.4    2.0720
cl-s4  175.40   2.2061
cl-s6  221.60   2.0986
cl-sh  232.07   2.0780
cl-ss  218.07   2.1058
cl-sx  156.44   2.2607
cl-sy  213.76   2.1148
c -n1  513.14   1.2605
c -n2  306.3    1.4200
c -n   317.46   1.3967
c -n4  174.20   1.5878
c -nc  342.30   1.3744
c -nd  312.61   1.4013
c -ne  324.90   1.3898
c -nf  305.31   1.4084
c -ni  281.72   1.4328
c -nj  312.82   1.4011
c -no  201.9    1.5400
c -ns  336.07   1.3798
c -nt  350.46   1.3675
c -ny  167.09   1.6020
c -nz  147.44   1.6454
c -o   590.60   1.2190
c -oh  359.27   1.3556
c -op  399.64   1.3251
c -oq  338.91   1.3726
c -os  351.31   1.3621
c -p2  150.0    1.9000
c -p3  176.83   1.8915
c -p4  158.4    1.8800
c -p5  180.11   1.8841
cp-cp  269.37   1.4829
cp-cq  288.42   1.4614
c -pe  157.42   1.9391
c -pf  145.7    1.9110
cp-na  296.53   1.4172
cp-nb  388.52   1.3377
c -px  174.23   1.8975
c -py  187.72   1.8675
cq-cq  263.41   1.4900
cq-na  349.5    1.3840
cq-nb  394.70   1.3332
c -s2  214.20   1.7834
c -s   298.4    1.6720
c -s4  168.0    1.8700
c -s6  168.0    1.8700
cs-cs  243.45   1.5153
cs-cx  271.16   1.4808
cs-cy  226.19   1.5393
cs-f   355.81   1.3333
c -sh  199.56   1.8106
cs-h4  349.10   1.0936
cs-h5  354.38   1.0901
cs-i   105.38   2.1642
cs-n   347.12   1.3703
cs-nc  352.38   1.3659
cs-ne  358.97   1.3605
cs-nf  339.63   1.3767
cs-ns  347.12   1.3703
cs-nt  362.70   1.3575
cs-nz  191.79   1.5555
cs-o   540.72   1.2422
cs-oh  378.47   1.3406
cs-os  365.53   1.3506
cs-p3  202.30   1.8379
cs-p5  192.35   1.8578
cs-pe  178.33   1.8881
cs-px  218.89   1.8072
cs-py  198.08   1.8462
c -sq  192.44   1.8247
c -ss  199.66   1.8104
cs-s   290.99   1.6704
cs-sh  205.86   1.7986
cs-ss  220.67   1.7721
cs-sx  172.65   1.8675
cs-sy  180.29   1.8503
c -sx  153.96   1.9138
c -sy  150.50   1.9231
cu-cu  498.77   1.3000
cu-cv  481.88   1.3096
cu-cx  281.06   1.4695
cu-f   381.21   1.3138
cu-ha  372.41   1.0786
cu-ne  495.97   1.2697
cu-op  406.05   1.3206
cu-os  387.86   1.3336
cv-cv  431.76   1.3407
cv-cx  251.04   1.5054
cv-cy  239.29   1.5209
cv-ha  357.90   1.0878
cv-n2  492.69   1.2715
cv-ne  523.16   1.2553
cv-nh  304.50   1.4092
cv-nu  399.44   1.3298
cv-oq  265.67   1.4459
cv-os  344.51   1.3678
cv-p3  218.49   1.8079
cv-p5  307.24   1.6809
cv-sq  227.38   1.7608
cv-ss  250.66   1.7245
cx-cx  248.86   1.5082
cx-cy  234.06   1.5281
cx-f   322.94   1.3612
cx-h1  356.36   1.0888
cx-h2  359.29   1.0869
cx-hc  359.91   1.0865
cx-hx  362.40   1.0849
cx-i   100.40   2.1867
cx-n1  322.29   1.3922
cx-n2  264.62   1.4521
cx-n   265.22   1.4514
cx-n3  280.53   1.4341
cx-n4  227.2    1.5050
cx-n5  249.08   1.4710
cx-n7  272.79   1.4427
cx-n8  271.55   1.4441
cx-na  256.83   1.4614
cx-nh  254.30   1.4645
cx-ni  237.01   1.4867
cx-nj  267.89   1.4483
cx-nk  229.83   1.4965
cx-nm  262.00   1.4552
cx-no  228.26   1.4987
cx-np  249.48   1.4705
cx-ns  280.71   1.4339
cx-nu  281.17   1.4334
cx-nz  223.82   1.5050
cx-oh  311.88   1.3972
cx-op  273.64   1.4368
cx-oq  274.62   1.4357
cx-os  303.65   1.4052
cx-p3  169.12   1.9096
cx-p5  202.71   1.8371
cx-s4  166.56   1.8819
cx-s6  180.89   1.8490
cx-sp  192.79   1.8240
cx-ss  186.77   1.8364
cy-cy  213.89   1.5578
cy-f   327.19   1.3574
cy-h1  347.61   1.0946
cy-h2  350.00   1.0930
cy-hc  347.46   1.0947
cy-hx  352.56   1.0913
cy-i    99.53   2.1908
cy-n1  286.65   1.4275
cy-n2  290.25   1.4237
cy-n   264.03   1.4528
cy-n3  253.25   1.4658
cy-n4  218.8    1.5160
cy-n6  238.81   1.4843
cy-n7  274.12   1.4412
cy-n8  262.92   1.4541
cy-na  270.06   1.4458
cy-nh  267.37   1.4489
cy-nj  245.86   1.4751
cy-nl  211.06   1.5240
cy-nn  243.38   1.4783
cy-no  214.59   1.5186
cy-nq  241.84   1.4803
cy-ns  283.20   1.4312
cy-nu  272.44   1.4431
cy-nx  210.28   1.5252
cy-nz  220.65   1.5096
cy-oh  296.77   1.4121
cy-oq  254.28   1.4595
cy-os  287.04   1.4222
cy-p3  169.79   1.9080
cy-p5  176.92   1.8913
cy-py  158.37   1.9366
cy-s4  154.07   1.9135
cy-s6  179.97   1.8510
cy-sh  186.58   1.8368
cy-sq  180.75   1.8493
cy-ss  180.48   1.8499
cy-sx  174.88   1.8624
cy-sy  180.29   1.8503
cz-na  365.97   1.3549
cz-nh  398.46   1.3305
cz-ns  369.79   1.3519
cz-nu  387.98   1.3381
cz-nv  385.81   1.3397
f -n1  167.3    1.4100
f -n   175.5    1.3970
f -n2  172.38   1.4131
f -n3  153.04   1.4495
f -n4  246.1    1.3080
f -n7  157.26   1.4411
f -na  200.64   1.3680
f -nh  168.50   1.4200
f -no  149.39   1.4570
f -ns  182.61   1.3958
f -nu  160.99   1.4339
f -ny  215.93   1.3467
f -nz  198.60   1.3710
f -o   198.1    1.3300
f -oh  151.63   1.4330
f -os  145.88   1.4449
f -p2  442.10   1.6242
f -p3  411.72   1.6491
f -p4  569.42   1.5387
f -p5  454.54   1.6146
f -py  507.08   1.5773
f -s2  363.5    1.6430
f -s   344.7    1.6600
f -s4  352.22   1.6464
f -s6  358.49   1.6402
f -sh  349.13   1.6495
f -ss  342.67   1.6561
f -sy  371.88   1.6274
h5-cf  390.5    1.0890
hn-n1  605.5    0.9860
hn-n2  454.59   1.0221
hn-n3  511.3    1.0190
hn-n+  440.90   1.0288
hn-n4  482.9    1.0300
hn-n   527.3    1.0130
hn-n5  456.68   1.0211
hn-n6  462.59   1.0183
hn-n7  460.05   1.0195
hn-n8  460.68   1.0192
hn-n9  460.68   1.0192
hn-na  481.77   1.0095
hn-nh  529.5    1.0120
hn-nj  527.1    1.0130
hn-nl  405.08   1.0476
hn-no  411.66   1.0440
hn-np  506.2    1.0210
hn-nq  513.9    1.0180
hn-ns  473.59   1.0132
hn-nt  479.54   1.0105
hn-nu  472.49   1.0137
hn-nv  477.54   1.0114
hn-nx  431.01   1.0338
hn-ny  430.82   1.0339
hn-nz  444.33   1.0271
ho-o   540.3    0.9810
ho-oh  535.51   0.9725
hp-p2  208.07   1.4272
hp-p3  209.17   1.4256
hp-p4  208.14   1.4271
hp-p5  212.70   1.4205
hp-py  216.60   1.4150
hs-s   288.3    1.3530
hs-s4  240.04   1.3928
hs-s6  258.53   1.3709
hs-sh  277.51   1.3503
hs-sy  257.91   1.3716
i -i    46.03   3.0512
i -n   106.34   2.0830
i -n1  105.5    2.0600
i -n2   83.06   2.1959
i -n3   78.0    2.1850
i -n4   83.7    2.1550
i -n7   88.72   2.1652
i -na  107.78   2.0770
i -ne   90.43   2.1564
i -nh   66.60   2.3020
i -no   73.05   2.2570
i -ns  107.18   2.0795
i -nu   85.40   2.1829
i -ny   87.05   2.1740
i -nz   86.68   2.1760
i -o   141.56   1.9009
i -oh   91.08   2.0887
i -os   66.14   2.2365
i -p2   81.91   2.6149
i -p3   74.66   2.6672
i -p4   78.10   2.6416
i -p5   82.14   2.6133
i -s   115.8    2.4300
i -s2   55.52   2.8826
i -s4   68.91   2.7526
i -s6   72.71   2.7212
i -sh   97.12   2.5580
i -ss   96.89   2.5593
n1-n1  663.19   1.1375
